host	sub	surf	E_tot	n_host	n_sub	surf_area(A^2)	
Au	As	210	-73.1	20	2	17.73788364	1ML
Ag	As	210	-64.1	20	2	17.96518409	1ML
Au	Sb	210	-72.9	20	2	18.11639591	1ML
Au	In	210	-70.3	20	2	18.1548188	1ML
Au	Te	210	-70.8	20	2	18.18561614	1ML
Ag	Tl	210	-59.8	20	2	18.27436461	1ML
Au	Hg	210	-64.5	20	2	18.29662308	1ML
Ag	In	210	-60.6	20	2	18.3074247	1ML
Ag	Sb	210	-63.7	20	2	18.30958349	1ML
Ag	Sn	210	-63.2	20	2	18.33737797	1ML
Au	Tl	210	-69.4	20	2	18.38617239	1ML
Au	Ga	210	-70.7	20	2	18.46283701	1ML
Ag	Hg	210	-55.6	20	2	18.59962923	1ML
Ag	Pb	210	-62.7	20	2	18.66552706	1ML
Au	Ge	210	-73.3	20	2	18.67000105	1ML
Ag	Bi	210	-63.6	20	2	18.70103241	1ML
Au	Pb	210	-72.4	20	2	18.70414781	1ML
Au	Zn	210	-67	20	2	18.71942286	1ML
Ag	Te	210	-62.8	20	2	18.75204269	1ML
Au	Bi	210	-72.9	20	2	18.78774095	1ML
Au	Cd	210	-66.4	20	2	18.82071205	1ML
Ag	Ge	210	-63.6	20	2	18.90060403	1ML
Au	Sn	210	-73.1	20	2	18.93798066	1ML
Ag	Ga	210	-61	20	2	18.96437707	1ML
Ag	Zn	210	-57.3	20	2	18.98513753	1ML
Ag	Cd	210	-56.9	20	2	19.14892614	1ML
Pd	Pb	110	-8.00E+01	14	2	10.99289021	1ML
Au	In	110	-5.11E+01	14	2	11.75013245	1ML
