host	sub	surf	E_tot	n_host	n_sub	latt_a	latt_b	surf_area(A^2)	type
Au	Sn	111	-.11806666E+03	34	2	5.03107453734	5.792737144001	29.143692346687068	zigzag
Au	Ga	100	-.10315617E+03	30	2	4.085343025	4.08851458	16.702984522013807	linear
Au	Ga	100	-.10307806E+03	30	2	5.791769168806	2.91232861	16.86753505282963	truelinear
Au	Ga	110	-.10286457E+03	30	2	5.774625979791	4.181595816	24.147151836058942	linearlong
Au	Ga	110	-.10268284E+03	30	2	8.340598693051	2.905860987	24.236620350360088	linearshort
Au	Ga	110	-.10280440E+03	30	2	5.115961374045	5.135042600372245	24.40277089636867	zigzag
Au	Ga	111	-.11591788E+03	34	2	5.760940581847	5.760940581847071	28.7420290235197	linear
Au	Ga	111	-.11574736E+03	34	2	5.004366914058	5.761533067	28.832825454745915	zigzag
Au	Zn	100	-.99510177E+02	30	2	4.104100885	4.104828291	16.846629421866137	linear
Au	Zn	100	-.99343947E+02	30	2	5.806037186022	2.908984647	16.889673034049082	truelinear
Au	Zn	110	-.99155504E+02	30	2	5.830894714152	4.149841132	24.19728672114935	linearlong
Au	Zn	110	-.98977329E+02	30	2	8.335337445846	2.903003452	24.1975133788758	linearshort
Au	Zn	110	-.99075361E+02	30	2	5.066093680034	5.064578832362222	24.088113746748764	zigzag
Au	Zn	111	-.11204581E+03	34	2	5.780284892095	5.780284892095542	28.935375297114632	linear
Au	Zn	111	-.11201779E+03	34	2	4.980048105181	5.809222978	28.930209884162828	zigzag
Au	Bi	100	-.10531700E+03	30	2	4.137508235001	4.156131585001	17.196028658689396	linear
Au	Bi	100	-.10472398E+03	30	2	5.877648721708	3.005477315	17.66513989863214	truelinear
Au	Bi	110	-.10464925E+03	30	2	5.861674483105	4.116742898	24.13100679871033	linearlong
Au	Bi	110	-.10420141E+03	30	2	8.051477268344	3.003222970001	24.180381474731604	linearshort
Au	Bi	110	-.10482682E+03	30	2	5.059341706795	5.054236145435067	24.16083102143577	zigzag
Au	Bi	111	-.11745132E+03	34	2	5.827919580597	5.827919580596964	29.414246818989678	linear
Au	Bi	111	-.11755348E+03	34	2	5.062564466962	5.869942156	29.71696058208791	zigzag
Au	Pb	100	-.10506295E+03	30	2	4.126871016	4.132816388005	17.05560016610764	linear
Au	Pb	100	-.10433043E+03	30	2	5.8500264141	2.939131553	17.193997219564757	truelinear
